uri,id,name,owner,total
spotify:playlist:2cAjSGylmmi6HoQ5oeGfea,2cAjSGylmmi6HoQ5oeGfea,megatrap,Jordan Shand,125
spotify:playlist:4Hq3yz3q7YpQKaOQQw9axV,4Hq3yz3q7YpQKaOQQw9axV,hallopeen,Jordan Shand,29
spotify:playlist:0TGh9WpAn8FTYZ6q53y8HS,0TGh9WpAn8FTYZ6q53y8HS,megayurdd,Jordan Shand,125
spotify:playlist:2sKQ747xnFoSsYZBlx7EkJ,2sKQ747xnFoSsYZBlx7EkJ,megabitches,Jordan Shand,191
spotify:playlist:4tfZFEhOYRHwl9nUo0BEVY,4tfZFEhOYRHwl9nUo0BEVY,megawolf,Jordan Shand,116
spotify:playlist:72QFXO4jTB2AO0fdKzC7Ax,72QFXO4jTB2AO0fdKzC7Ax,midwinter.drinker,Jordan Shand,53
spotify:playlist:3stujqIcfT105DAhjt8uDF,3stujqIcfT105DAhjt8uDF,vday.pong,Jordan Shand,219
spotify:playlist:69pea3R4voGGcHm7jOfIiN,69pea3R4voGGcHm7jOfIiN,luv.pung,Jordan Shand,255
spotify:playlist:2DxQL9rnCXYF1qwoSuyPOZ,2DxQL9rnCXYF1qwoSuyPOZ,((beach)),Jordan Shand,144
spotify:playlist:6bhJw4jdWoVxAO40CvoO2V,6bhJw4jdWoVxAO40CvoO2V,firstmucker,Jordan Shand,229
spotify:playlist:0N5tjRdB9B06ochkZOOdcn,0N5tjRdB9B06ochkZOOdcn,mixies ,Jordan Shand,44
spotify:playlist:2sFuJeIKehkNBUSU3u4RJZ,2sFuJeIKehkNBUSU3u4RJZ,beaches,Jordan Shand,159
spotify:playlist:2qYGVxAB9DpOx0hJ0UsVuh,2qYGVxAB9DpOx0hJ0UsVuh,firstdrink,Jordan Shand,111
spotify:playlist:7D5oFZsXCp17W3hJe06V2p,7D5oFZsXCp17W3hJe06V2p,oldparty,Jordan Shand,145
spotify:playlist:0Fpp7chY2BWfqOTJxbRtRY,0Fpp7chY2BWfqOTJxbRtRY,formelvin,Jordan Shand,94
spotify:playlist:0Mz1WAFp7DjMdIAlij33s1,0Mz1WAFp7DjMdIAlij33s1,swāray,Jordan Shand,130
spotify:playlist:0HLC9cHaEP06LQHjgVnJhU,0HLC9cHaEP06LQHjgVnJhU,luv.hittin.cups.🖤❤️,Jordan Shand,211
spotify:playlist:79BY5cAK4GpNeSRNOakCLA,79BY5cAK4GpNeSRNOakCLA,🔥❄️,Jordan Shand,248
